token,latency_ms,tokens_per_sec
3656,2.912806,343.311570
3657,3.849169,259.796335
3658,3.236976,308.930310
3659,2.930740,341.210752
3660,2.919910,342.476309
3661,2.924097,341.985919
3662,3.325583,300.699156
3663,3.622954,276.017857
3664,3.506103,285.216949
3665,2.934116,340.818154
3666,2.922975,342.117192
3667,3.380506,295.813704
3668,3.844139,260.136275
3669,2.937702,340.402124
3670,2.917785,342.725732
3671,2.916482,342.878852
3672,3.370878,296.658615
3673,3.730005,268.096155
3674,3.125136,319.986074
3675,2.931380,341.136257
3676,2.922935,342.121874
3677,3.419139,292.471292
3678,3.618635,276.347297
3679,3.488951,286.619101
3680,2.921983,342.233339
3681,2.927163,341.627713
3682,3.330482,300.256840
3683,3.865089,258.726254
3684,2.939886,340.149244
3685,2.925620,341.807890
3686,2.916532,342.872974
3687,2.922905,342.125386
3688,3.991217,250.550145
3689,3.241414,308.507337
3690,2.925039,341.875784
3691,2.925109,341.867602
3692,2.912635,343.331725
3693,3.373252,296.449835
3694,3.644854,274.359412
3695,3.506344,285.197345
3696,2.930419,341.248129
3697,2.932493,341.006782
3698,3.331835,300.134911
3699,3.867424,258.570046
3700,2.940608,340.065728
3701,2.924768,341.907461
3702,2.907145,343.980090
3703,3.340752,299.333803
3704,3.744663,267.046728
3705,3.124324,320.069237
3706,2.921172,342.328353
3707,2.923355,342.072721
3708,3.415963,292.743218
3709,3.704286,269.957557
3710,3.382099,295.674373
3711,2.954854,338.426196
3712,2.919519,342.522176
3713,3.332135,300.107889
3714,3.892781,256.885759
3715,2.950086,338.973169
3716,2.920681,342.385902
3717,2.927663,341.569368
3718,3.383091,295.587674
3719,3.779558,264.581202
3720,3.055074,327.324314
3721,2.930680,341.217738
3722,2.926672,341.685027
3723,2.921922,342.240484
3724,3.863496,258.832933
3725,3.459556,289.054434
3726,3.148018,317.660191
3727,2.924969,341.883965
3728,2.920370,342.422364
3729,3.849379,259.782162
3730,3.377701,296.059361
3731,2.928325,341.492150
3732,2.917675,342.738653
3733,2.912916,343.298605
3734,3.381489,295.727710
3735,3.722581,268.630824
3736,3.125146,319.985050
3737,2.927343,341.606706
3738,2.922103,342.219285
3739,3.406586,293.549025
3740,3.709186,269.600931
3741,3.376069,296.202477
3742,2.921151,342.330814
3743,2.923496,342.056223
3744,3.366299,297.062145
3745,3.828320,261.211184
3746,2.935489,340.658745
3747,2.925860,341.779853
3748,2.921432,342.297887
3749,3.433046,291.286513
3750,3.741506,267.272056
3751,3.061185,326.670881
3752,2.922634,342.157109
3753,2.924949,341.886303
3754,2.918907,342.593992
3755,3.807922,262.610421
3756,3.460637,288.964142
3757,3.145123,317.952589
3758,2.910862,343.540848
3759,2.930178,341.276196
3760,3.850903,259.679353
3761,3.375397,296.261447
3762,2.923897,342.009312
3763,2.929738,341.327450
3764,2.909389,343.714780
3765,3.345461,298.912467
3766,3.725396,268.427840
3767,3.131858,319.299279
3768,2.919267,342.551743
3769,2.925750,341.792703
3770,3.418629,292.514923
3771,3.823180,261.562364
3772,2.935809,340.621614
3773,2.918967,342.586949
3774,2.919569,342.516310
3775,3.333518,299.983381
3776,3.844370,260.120644
3777,2.940037,340.131774
3778,2.916913,342.828189
3779,2.920570,342.398915
3780,3.422235,292.206701
3781,3.734303,267.787590
3782,3.063239,326.451837
3783,2.928836,341.432569
3784,2.919419,342.533908
3785,2.929697,341.332227
3786,3.870941,258.335118
3787,3.154481,317.009359
3788,3.056887,327.130182
3789,2.933645,340.872873
3790,2.918456,342.646934
3791,3.355630,298.006634
3792,3.872563,258.226916
3793,2.938254,340.338174
3794,2.918296,342.665720
3795,2.916593,342.865803
3796,3.335441,299.810430
3797,3.837587,260.580412
3798,2.942872,339.804110
3799,2.928275,341.497981
3800,2.915822,342.956463
3801,3.431773,291.394565
3802,3.716700,269.055883
3803,3.059081,326.895561
3804,2.931592,341.111587
3805,2.931381,341.136140
3806,3.294394,303.545963
3807,3.894285,256.786547
3808,2.944405,339.627191
3809,2.928906,341.424409
3810,2.911814,343.428529
3811,2.925991,341.764551
3812,3.855992,259.336638
3813,3.390936,294.903826
3814,2.928725,341.445510
3815,2.917905,342.711637
3816,2.921221,342.322611
3817,3.343667,299.072844
3818,3.816248,262.037478
3819,3.177445,314.718272
3820,2.945447,339.507043
3821,2.926592,341.694367
3822,3.320704,301.140963
3823,3.922277,254.953946
3824,2.969974,336.703284
3825,3.086072,324.036510
3826,2.952440,338.702903
3827,3.382921,295.602528
3828,3.947545,253.322001
3829,2.963170,337.476419
3830,2.949826,339.003046
3831,2.940027,340.132931
3832,3.412577,293.033681
3833,3.807300,262.653324
3834,3.092083,323.406584
3835,2.942562,339.839908
3836,2.954144,338.507534
3837,3.362914,297.361158
3838,3.927387,254.622221
3839,2.958813,337.973370
3840,2.951639,338.794819
3841,2.933785,340.856607
3842,3.393812,294.653917
3843,3.801409,263.060355
3844,3.165021,315.953670
3845,2.944916,339.568259
3846,2.950106,338.970871
3847,2.939285,340.218795
3848,3.941644,253.701247
3849,3.283964,304.510037
3850,2.944927,339.566991
3851,2.937632,340.410235
3852,2.940178,340.115462
3853,3.942545,253.643268
3854,3.362322,297.413514
3855,2.941780,339.930246
3856,2.940799,340.043641
3857,2.927653,341.570534
3858,3.372842,296.485872
3859,3.881119,257.657650
3860,2.955666,338.333222
3861,2.939667,340.174584
3862,2.938655,340.291732
3863,3.380486,295.815454
3864,3.760983,265.887934
3865,3.080742,324.597126
3866,2.946629,339.370854
3867,2.934537,340.769259
3868,3.395125,294.539965
3869,3.876901,257.937977
3870,2.952962,338.643030
3871,2.936099,340.587971
3872,2.916242,342.907070
3873,3.379645,295.889065
3874,3.755994,266.241107
3875,3.141216,318.348054
3876,2.933345,340.907735
3877,2.928986,341.415084
3878,2.927122,341.632498
3879,3.921877,254.979950
3880,3.281330,304.754475
3881,2.935088,340.705287
3882,2.933254,340.918311
3883,2.935979,340.601891
3884,3.966229,252.128659
3885,3.428777,291.649180
3886,2.950727,338.899532
3887,2.943743,339.703568
3888,2.937191,340.461346
3889,3.369556,296.775005
