run_id,chunk1_gpu_ms,chunk2_gpu_ms,chunk3_gpu_ms,chunk4_gpu_ms,chunk5_gpu_ms,chunk6_gpu_ms,chunk7_gpu_ms,chunk8_gpu_ms,total_gpu_ms,total_cpu_ms
90,0.317216,0.131072,0.052928,0.053056,0.092192,0.077504,0.072672,0.027744,0.824384,0.972982
91,0.31696,0.13312,0.051872,0.0512,0.09376,0.074688,0.073728,0.028128,0.823456,0.973623
92,0.316224,0.131104,0.053248,0.051808,0.092416,0.076288,0.073952,0.027776,0.822816,0.97204
93,0.317024,0.131072,0.053248,0.051872,0.092672,0.075712,0.075104,0.207616,1.00432,1.15524
94,0.316256,0.131072,0.051232,0.052416,0.093344,0.0776,0.073728,0.028448,0.824096,1.51375
95,0.318688,0.132992,0.05136,0.0512,0.09248,0.075744,0.07376,0.02848,0.824704,0.976298
96,0.317888,0.130176,0.053184,0.05184,0.092416,0.076224,0.074272,0.028192,0.824192,0.974435
97,0.3192,0.131136,0.05296,0.05168,0.092768,0.075776,0.073952,0.028,0.825472,0.978873
98,0.319104,0.13184,0.052928,0.053152,0.092608,0.077344,0.075072,0.028672,0.83072,0.981036
99,0.318048,0.131744,0.051744,0.052512,0.094112,0.075904,0.075776,0.02864,0.82848,0.982059
100,0.318912,0.129024,0.055168,0.052928,0.09552,0.076416,0.075776,0.024576,0.82832,1.68351
